English_name,sumWeeklyHealthHours,SumPopulation,SumPopulation_CompletedFromExternalData,NumberOfCities_smaller35km,Jewish_precent,Arab_precent,Jewish_Arabs_precent_CompletedFromExternalData,precentPopulation_over20,ClalitPrecent_fromTatal,ClalitPrecent_fromTatal_CompletedFromExternalData,MacabiPrecent_fromTatal,MacabiPrecent_fromTatal_CompletedFromExternalData,MeuhedetPrecent_fromTatal,MeuhedetPrecent_fromTatal_CompletedFromExternalData,LeumitPrecent_fromTatal,LeumitPrecent_fromTatal_CompletedFromExternalData,SocioeconomicStatusֹ,SocioeconomicStatusֹ_CompletedFromExternalData,periphery,Jerusalem_district,North_district,Center_district,Haifa_district,TLV_district,South_district,Clinic_hours_for_1000_people,Clinic_hours_for_1000_people_bigger9
YAFI,268.5,19538,0,58,0,99.9,0,66.5,70.3,0,12.4,0,11.1,0,6.2,0,3,0,1,0,1,0,0,0,0,13.74245061,0
YOQNE'AM ILLIT,637.4165,24158,0,123,90.4,0,0,71.1,52.3,0,35.6,0,0.7,0,11.4,0,7,0,1,0,1,0,0,0,0,26.38531749,0
YEROHAM,288.25,11031,0,21,92.8,0,0,64.3,69.8,0,28.6,0,0.8,0,0.8,0,4,0,1,0,0,0,0,0,1,26.13090382,0
JERUSALEM,20383.9926,966210,0,51,97.6,38.9,0,61.4,41.6,0,12.9,0,36.7,0,8.7,0,2,0,1,1,0,0,0,0,0,21.09685534,0
YIRKA,458.5,17576,0,83,0,99.7,0,66.3,56.2,0,0.4,0,29.1,0,14.3,0,3,0,1,0,1,0,0,0,0,26.08670915,0
KABUL,273.75,14473,0,64,0,99.9,0,62.7,77.4,0,0.3,0,21.9,0,0.5,0,3,0,1,0,1,0,0,0,0,18.91453051,0
KAOKAB ABU AL-HIJA,11,3724,0,55,0,99.9,0,66.2,80.2,0,2.6,0,2.7,0,14.6,0,4,0,1,0,1,0,0,0,0,2.953813104,1
KOKHAV YA'IR,130.75,8949,0,63,98.9,0,0,74.1,41.2,0,42.9,0,3.9,0,12,0,10,0,0,0,0,1,0,0,0,14.61057101,0
KUSEIFE,515,23219,0,21,0,99.9,0,44.3,81.2,0,5.8,0,3.4,0,9.6,0,1,0,1,0,0,0,0,0,1,22.18011112,0
KISRA-SUMEI,220.9996,9108,0,66,0,100,0,62.3,67.3,0,6.9,0,8.5,0,17.4,0,3,0,1,0,1,0,0,0,0,24.26433904,0
KA'ABIYYE-TABBASH-HA,164.5,5732,0,54,0,99.7,0,61.2,64.8,0,5,0,28.8,0,1.4,0,3,0,1,0,1,0,0,0,0,28.69853454,0
KAFAR BARA,92.75,3856,0,112,0,99.9,0,58.8,51.9,0,0.8,0,47.2,0,0.1,0,4,0,1,0,0,1,0,0,0,24.05342324,0
KEFAR WERADIM,100.75,5531,0,59,94.8,0,0,77.2,53.1,0,38.7,0,6.2,0,2.1,0,9,0,1,0,1,0,0,0,0,18.21551257,0
KAFAR YASIF,330.5,10323,0,77,0,99.8,0,71.5,79.1,0,7.6,0,2.6,0,10.7,0,5,0,1,0,1,0,0,0,0,32.01588685,0
KEFAR YONA,475.4996,27898,0,108,96.7,0,0,66.9,50.7,0,32.2,0,9.3,0,7.8,0,7,0,0,0,0,1,0,0,0,17.04421822,0
KAFAR KAMA,10.5,3479,0,55,0,99.6,0,75.4,96.3,0,2.6,0,1,0,0.2,0,6,0,1,0,1,0,0,0,0,3.018108652,1
